# Original file: "vega_c95.fits"
# this is the vega spectrum from ATLAS12
# It covers 0.09 - 2.6 microns with uniform spacing of 0.1nm
# downloaded from here: ftp://ftp.stsci.edu/cdbs/grid/k93models/standards/
# see the readme there for more details.
#
# wavelength units are angstroms
# flux units are erg cm-2 s-1 angstrom-1

wavelength flux
1370.500 5.32006E-09
1371.500 5.53231E-09
1372.500 5.33428E-09
1373.500 5.43502E-09
1374.500 5.02944E-09
1375.500 4.61327E-09
1376.500 6.11886E-09
1377.500 6.14009E-09
1378.500 5.12132E-09
1379.500 4.78913E-09
1380.500 5.10477E-09
1381.500 4.00624E-09
1382.500 5.25702E-09
1383.500 5.58725E-09
1384.500 5.17404E-09
1385.500 4.09844E-09
1386.500 6.02580E-09
1387.500 5.83695E-09
1388.500 5.64913E-09
1389.500 6.28244E-09
1390.500 6.94699E-09
1391.500 5.39099E-09
1392.500 5.01922E-09
1393.500 5.34562E-09
1394.500 6.44582E-09
1395.500 6.44909E-09
1396.500 5.74346E-09
1397.500 5.67385E-09
1398.500 5.27046E-09
1399.500 5.45556E-09
1400.500 6.16802E-09
1401.500 4.56841E-09
1402.500 6.49560E-09
1403.500 5.96702E-09
1404.500 6.22103E-09
1405.500 5.99356E-09
1406.500 6.72508E-09
1407.500 5.78420E-09
1408.500 6.27015E-09
1409.500 5.41969E-09
1410.500 4.88216E-09
1411.500 4.73584E-09
1412.500 5.84286E-09
1413.500 6.51668E-09
1414.500 4.40160E-09
1415.500 4.80682E-09
1416.500 5.92045E-09
1417.500 5.36696E-09
1418.500 5.34147E-09
1419.500 5.88754E-09
1420.500 5.30868E-09
1421.500 6.24013E-09
1422.500 6.13530E-09
1423.500 6.34535E-09
1424.500 4.12766E-09
1425.500 6.16563E-09
1426.500 6.79413E-09
1427.500 5.50132E-09
1428.500 6.58323E-09
1429.500 6.00052E-09
1430.500 5.27821E-09
1431.500 5.14615E-09
1432.500 3.50020E-09
1433.500 4.04602E-09
1434.500 5.86157E-09
1435.500 4.71803E-09
1436.500 6.23693E-09
1437.500 7.07238E-09
1438.500 5.12856E-09
1439.500 6.57364E-09
1440.500 6.27852E-09
1441.500 6.44259E-09
1442.500 5.33347E-09
1443.500 6.32079E-09
1444.500 5.99507E-09
1445.500 6.74134E-09
1446.500 6.44906E-09
1447.500 6.50453E-09
1448.500 5.90162E-09
1449.500 6.86291E-09
1450.500 6.37035E-09
1451.500 6.73863E-09
1452.500 6.45306E-09
1453.500 6.94702E-09
1454.500 6.37145E-09
1455.500 6.29471E-09
1456.500 6.58127E-09
1457.500 6.76683E-09
1458.500 6.74247E-09
1459.500 6.51895E-09
1460.500 6.96447E-09
1461.500 5.78975E-09
1462.500 6.57381E-09
1463.500 4.68159E-09
1464.500 6.69280E-09
1465.500 6.67603E-09
1466.500 6.15500E-09
1467.500 3.72575E-09
1468.500 5.65747E-09
1469.500 6.11244E-09
1470.500 4.90745E-09
1471.500 6.34860E-09
1472.500 5.64935E-09
1473.500 5.84437E-09
1474.500 4.62029E-09
1475.500 5.31100E-09
1476.500 6.59799E-09
1477.500 5.53522E-09
1478.500 5.68427E-09
1479.500 6.88496E-09
1480.500 5.99780E-09
1481.500 5.02372E-09
1482.500 6.11802E-09
1483.500 4.71168E-09
1484.500 6.48647E-09
1485.500 5.20535E-09
1486.500 6.76356E-09
1487.500 6.45123E-09
1488.500 6.94729E-09
1489.500 6.65897E-09
1490.500 6.96197E-09
1491.500 6.87274E-09
1492.500 4.35287E-09
1493.500 6.00923E-09
1494.500 4.94288E-09
1495.500 7.51154E-09
1496.500 6.70370E-09
1497.500 7.35133E-09
1498.500 7.07619E-09
1499.500 7.28622E-09
1500.500 6.56939E-09
1501.500 6.71574E-09
1502.500 6.93317E-09
1503.500 7.46932E-09
1504.500 7.18272E-09
1505.500 7.03555E-09
1506.500 6.54864E-09
1507.500 6.98299E-09
1508.500 5.79131E-09
1509.500 5.66657E-09
1510.500 5.54975E-09
1511.500 6.28930E-09
1512.500 6.14739E-09
1513.500 5.94818E-09
1514.500 6.23092E-09
1515.500 5.69531E-09
1516.500 6.37875E-09
1517.500 7.64385E-09
1518.500 7.01016E-09
1519.500 7.07874E-09
1520.500 6.48209E-09
1521.500 7.06540E-09
1522.500 7.17261E-09
1523.500 6.71237E-09
1524.500 7.27493E-09
1525.500 6.32635E-09
1526.500 2.94752E-09
1527.500 5.02391E-09
1528.500 7.04765E-09
1529.500 6.90328E-09
1530.500 6.88707E-09
1531.500 6.81497E-09
1532.500 5.60226E-09
1533.500 2.36217E-09
1534.500 6.06219E-09
1535.500 6.13803E-09
1536.500 5.86994E-09
1537.500 6.92654E-09
1538.500 6.38562E-09
1539.500 6.28671E-09
1540.500 6.80929E-09
1541.500 6.20753E-09
1542.500 5.85803E-09
1543.500 6.32623E-09
1544.500 6.87735E-09
1545.500 5.28515E-09
1546.500 6.59822E-09
1547.500 6.36281E-09
1548.500 5.35269E-09
1549.500 7.66811E-09
1550.500 6.18779E-09
1551.500 5.88979E-09
1552.500 5.03267E-09
1553.500 5.83533E-09
1554.500 4.65571E-09
1555.500 4.86954E-09
1556.500 5.34015E-09
1557.500 5.91884E-09
1558.500 5.71802E-09
1559.500 3.79997E-09
1560.500 1.96982E-09
1561.500 1.84714E-09
1562.500 3.76227E-09
1563.500 3.81552E-09
1564.500 5.19000E-09
1565.500 6.81611E-09
1566.500 5.43052E-09
1567.500 5.13860E-09
1568.500 5.80517E-09
1569.500 6.75546E-09
1570.500 5.76201E-09
1571.500 5.77876E-09
1572.500 6.11995E-09
1573.500 4.17136E-09
1574.500 3.76570E-09
1575.500 6.07931E-09
1576.500 6.65649E-09
1577.500 5.90787E-09
1578.500 5.95264E-09
1579.500 7.10595E-09
1580.500 5.44453E-09
1581.500 6.33141E-09
1582.500 6.83252E-09
1583.500 7.44360E-09
1584.500 5.80401E-09
1585.500 6.20326E-09
1586.500 5.86401E-09
1587.500 6.33977E-09
1588.500 6.33411E-09
1589.500 6.85914E-09
1590.500 5.94824E-09
1591.500 6.87252E-09
1592.500 6.06306E-09
1593.500 7.02913E-09
1594.500 6.13813E-09
1595.500 6.33652E-09
1596.500 7.06412E-09
1597.500 7.62343E-09
1598.500 7.26056E-09
1599.500 7.41214E-09
1600.500 5.48192E-09
1601.500 7.36570E-09
1602.500 5.67910E-09
1603.500 7.38149E-09
1604.500 7.46818E-09
1605.500 5.71940E-09
1606.500 6.83362E-09
1607.500 6.93714E-09
1608.500 5.39874E-09
1609.500 7.00950E-09
1610.500 6.02616E-09
1611.500 6.80427E-09
1612.500 5.71687E-09
1613.500 5.74703E-09
1614.500 6.49068E-09
1615.500 6.93268E-09
1616.500 6.35149E-09
1617.500 7.27396E-09
1618.500 5.98721E-09
1619.500 6.26726E-09
1620.500 6.24811E-09
1621.500 5.26923E-09
1622.500 5.75756E-09
1623.500 4.76374E-09
1624.500 7.08148E-09
1625.500 4.65772E-09
1626.500 6.56275E-09
1627.500 6.01340E-09
1628.500 6.93105E-09
1629.500 3.89849E-09
1630.500 6.22332E-09
1631.500 4.68362E-09
1632.500 5.72379E-09
1633.500 4.29650E-09
1634.500 6.86580E-09
1635.500 5.87836E-09
1636.500 6.32574E-09
1637.500 6.31924E-09
1638.500 7.11775E-09
